Year,Coffee,Cocoa,Tea,Rice,Wheat,Maize,Sugar,Beef,Lamb,Banana,Palmoil,Cotton,Jute,Wool,Hides,Tobacco,Rubber,Timber,Copper,Aluminum,Tin,Silver,Lead,Zinc,MUV,GYCPI,GYCPIM,GYCPINF,GYCPIF,GYCPICW,GYCPIM-CW,GYCPINF-CW,GYCPIF-CW
1900,4.594,8.992,18.814,22.771,20.383,16.77,33.19,2.93,2.36,13.01,16.57,16.99,13.9,28.41,18.15,4.57,111.09,5.01,21.724,59.89,4.78,8.715,11.205,12.83,14.607,19.309,27.778,21.31,15.587,12.866,20.064,11.049,12.014
1901,3.598,8.457,17.994,20.467,19.533,21.465,26.857,2.93,2.36,13.47,15.7,17.09,12.46,23.85,17.5,4.64,97.82,4.66,21.616,60.44,2.676,8.376,11.103,11.895,13.858,18.236,27.522,19.292,14.716,12.008,18.485,10.366,11.232
1902,3.044,8.51,19.067,19.798,22.364,27.628,21.462,2.93,2.36,13.94,16.57,17.65,11.97,25.88,17.59,4.9,94.88,4.56,14.8,60.44,4.283,7.412,10.436,14.145,13.483,18.145,25.518,19.268,15.209,11.878,17.268,10.433,11.22
1903,3.1,8.564,14.521,25.035,22.364,19.705,22.986,2.79,2.36,14.43,16.86,21.52,13.11,27.9,16.76,5.18,120.95,4.82,17.765,60.44,4.491,7.612,10.872,15.158,13.483,19.006,26.668,22.86,14.634,12.173,18.672,11.424,10.938
1904,4.317,8.778,17.425,20.877,26.044,21.13,30.609,2.93,2.36,14.94,16.57,20.67,13.61,29.93,18.29,5.02,135.7,4.56,17.202,64.103,4.475,8.131,11.051,14.408,13.858,20.586,27.526,24.45,16.444,13.07,18.835,11.337,12.459
1905,4.594,8.617,16.92,23.488,25.478,22.346,32.72,2.92,2.36,15.47,16.28,19.26,17.96,36.53,22.77,4.83,145.06,4.55,20.919,64.103,5.014,8.575,12.077,16.746,13.858,21.621,29.15,26.226,16.924,13.624,20.898,11.693,12.793
1906,4.428,8.831,14.837,27.608,21.515,19.663,24.863,2.93,2.36,16.01,18.31,21.24,22.78,36.02,25.79,5.07,150.8,4.9,25.87,65.568,6.367,9.49,14.513,17.681,14.607,21.61,31.726,27.547,15.422,13.759,23.904,12.519,12.057
1907,3.598,10.705,14.521,29.637,24.912,22.262,26.153,2.86,2.3,16.58,19.77,21.52,20.39,35.51,20.35,5.25,139.17,5.09,26.836,82.418,6.103,9.27,13.641,16.98,15.356,22.757,36.699,25.967,16.672,14.089,25.435,12.42,12.386
1908,4.594,7.44,13.448,30.746,29.441,29.054,30.023,2.93,2.26,17.164,16.57,20.58,15.06,30.44,19.19,5.56,112.38,4.74,17.725,52.564,4.71,7.511,10.769,13.385,14.232,20.427,24.245,22.291,18.276,13.526,17.797,11.501,13.41
1909,4.871,6.369,14.71,24.195,30.857,28.341,29.554,2.93,2.36,16.606,17.44,23.51,12.65,35.51,25.78,5.78,161.72,4.83,17.417,40.293,4.752,7.318,10.949,15.636,14.232,21.554,20.822,28.973,18.143,13.787,16.623,12.837,13.443
1910,5.757,5.995,15.152,24.153,27.177,23.813,31.9,2.92,2.35,17.013,21.22,27.75,14.38,32.98,22.67,5.68,197.25,5.09,17.095,40.842,5.455,7.601,11.41,13.694,14.232,22.63,21.026,32.924,18.088,14.224,16.781,13.504,13.834
1911,7.804,6.316,15.279,31.609,26.894,25.49,35.418,2.91,2.35,18.1,20.93,24.17,19.71,28.92,23.46,5.85,159.1,5.09,16.611,36.813,6.76,7.579,11.333,15.395,14.232,21.909,19.923,28.122,19.498,14.773,16.731,12.863,15.195
1912,8.856,6.691,15.468,36.468,27.743,28.665,30.609,2.92,2.35,18.889,20.06,21.9,20.41,32.47,28.68,6.05,154.15,5.36,21.925,40.293,7.371,8.645,11.462,19.873,14.607,22.64,23.176,28.166,19.739,15.611,19.731,13.338,15.642
1913,7.196,7.44,15.658,28.552,22.647,25.99,22.869,2.88,2.32,18.635,21.51,24.07,25.75,28.41,30.02,6.25,125.4,5.63,20.489,43.223,7.075,8.496,11.205,16.074,14.607,20.461,23.134,25.44,17.149,14.592,19.151,13.488,13.893
1914,6.365,6.637,15.658,26.907,28.309,29.472,30.961,2.82,2.27,18.965,23.55,20.86,26.66,29.93,33.49,6.38,94.04,5.84,18.248,34.066,5.484,7.788,9.897,14.788,13.858,20.21,19.291,22.239,19.509,14.642,16.272,13.231,14.878
